fish_id,group,dpf,session_minutes,n_scored_events,n_abnormal_events,n_severe_events,n_whirlpool_events,n_convulsion_events,event_seconds,manual_pts_stage_observed,dlc_mean_speed_mm_s,dlc_max_speed_mm_s,dlc_mean_tail_bend_deg,dlc_max_tail_bend_deg,dlc_mean_keypoint_likelihood,dlc_tracking_qc_pass,dlc_abnormal_event_rate_per_min,dlc_severe_event_rate_per_min,dlc_whirlpool_rate_per_min,dlc_convulsion_rate_per_min,dlc_rest_fraction,dlc_behavior_abnormality_index
LZTBI-0035,sham,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0035,sham,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0036,sham,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0036,sham,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0036,sham,6,5.0,2.0,1.0,0.0,0.0,0.0,2.7809999999999997,1.0,21.575,63.77,35.805,98.66,0.95895,True,0.2,0.0,0.0,0.0,0.99073,0.166667
LZTBI-0037,tbi_low,4,5.0,1.0,0.0,0.0,0.0,0.0,0.338,0.0,2.0,7.0,19.19,40.24,0.9479,True,0.0,0.0,0.0,0.0,0.9988733333333333,0.0
LZTBI-0037,tbi_low,5,5.0,1.0,0.0,0.0,0.0,0.0,0.419,0.0,10.09,15.99,18.21,75.57,0.9806,True,0.0,0.0,0.0,0.0,0.9986033333333333,0.0
LZTBI-0037,tbi_low,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0038,tbi_low,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0038,tbi_low,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0038,tbi_low,6,5.0,1.0,0.0,0.0,0.0,0.0,0.381,0.0,4.07,7.0,31.58,71.22,0.9837,True,0.0,0.0,0.0,0.0,0.99873,0.0
LZTBI-0039,sham,4,5.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,9.91,26.12,29.93,80.01,0.9695,True,0.0,0.0,0.0,0.0,0.9983333333333333,0.0
LZTBI-0039,sham,5,5.0,1.0,0.0,0.0,0.0,0.0,0.469,0.0,4.82,12.34,28.94,53.34,0.9632,True,0.0,0.0,0.0,0.0,0.9984366666666666,0.0
LZTBI-0039,sham,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0040,tbi_low,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0040,tbi_low,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0040,tbi_low,6,5.0,1.0,0.0,0.0,0.0,0.0,0.231,0.0,11.59,30.26,27.98,49.7,0.9662,True,0.0,0.0,0.0,0.0,0.99923,0.0
LZTBI-0041,tbi_high,4,5.0,2.0,1.0,1.0,0.0,1.0,2.887,3.0,20.66,104.06,32.620000000000005,172.24,0.96905,True,0.2,0.2,0.0,0.2,0.9903766666666667,0.7
LZTBI-0041,tbi_high,5,5.0,2.0,1.0,1.0,1.0,0.0,6.9430000000000005,2.0,32.66,95.26,34.815,94.68,0.9658500000000001,True,0.2,0.2,0.2,0.0,0.9768566666666667,0.633333
LZTBI-0041,tbi_high,6,5.0,1.0,1.0,1.0,0.0,1.0,6.238,3.0,54.44,89.61,102.23,124.99,0.9741,True,0.2,0.2,0.0,0.2,0.9792066666666667,0.7
LZTBI-0042,tbi_high,4,5.0,3.0,3.0,3.0,2.0,1.0,13.556000000000001,3.0,57.75666666666667,106.78,61.776666666666664,140.72,0.9682333333333334,True,0.6,0.6,0.4,0.2,0.9548133333333333,1.7
LZTBI-0042,tbi_high,5,5.0,1.0,0.0,0.0,0.0,0.0,0.525,0.0,7.63,14.86,9.11,52.72,0.9806,True,0.0,0.0,0.0,0.0,0.99825,0.0
LZTBI-0042,tbi_high,6,5.0,3.0,1.0,1.0,0.0,1.0,8.024000000000001,3.0,20.2,113.03,46.696666666666665,140.12,0.9685,True,0.2,0.2,0.0,0.2,0.9732533333333333,0.7
LZTBI-0043,tbi_high,4,5.0,1.0,0.0,0.0,0.0,0.0,0.394,0.0,4.64,7.78,23.64,36.73,0.9804,True,0.0,0.0,0.0,0.0,0.9986866666666666,0.0
LZTBI-0043,tbi_high,5,5.0,2.0,0.0,0.0,0.0,0.0,0.956,0.0,11.145,38.9,22.455,61.8,0.9645,True,0.0,0.0,0.0,0.0,0.9968133333333333,0.0
LZTBI-0043,tbi_high,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0044,tbi_low,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0044,tbi_low,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0044,tbi_low,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0045,tbi_moderate,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0045,tbi_moderate,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0045,tbi_moderate,6,5.0,1.0,1.0,0.0,0.0,0.0,2.019,1.0,19.52,28.0,50.84,107.02,0.9845,True,0.2,0.0,0.0,0.0,0.99327,0.166667
