fish_id,group,batch,clutch_id,plate_id,n_weight_drops,measured_peak_pressure_kpa,cumulative_pressure_burden_kpa_hits,last_observed_dpf,n_lfp_sessions,became_epileptic,first_seizure_hours,high_burden_state_dpf6_TRUTH,survived_to_6dpf,max_manual_baraban_stage_observed,is_synthetic
LZTBI-0022,tbi_low,1,CL01,P01,1,117.09999999999998,117.1,6,3,0,,0,True,1,False
LZTBI-0023,tbi_moderate,1,CL01,P01,1,201.6,201.6,6,3,0,,0,True,2,False
LZTBI-0024,tbi_high,1,CL01,P01,1,333.7,333.7,6,3,1,,1,True,3,False
LZTBI-0025,tbi_moderate,1,CL01,P01,1,201.6,201.6,6,3,1,,1,True,3,False
LZTBI-0026,tbi_moderate,1,CL01,P01,1,201.6,201.6,5,2,0,,0,False,1,False
LZTBI-0027,tbi_high,1,CL01,P01,1,333.7,333.7,6,3,1,,1,True,3,False
LZTBI-0028,tbi_low,1,CL01,P01,1,117.09999999999998,117.1,6,3,0,,0,True,2,False
LZTBI-0029,tbi_low,1,CL01,P01,1,117.09999999999998,117.1,6,3,0,,0,True,1,False
LZTBI-0030,sham,1,CL01,P01,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0031,tbi_moderate,1,CL01,P01,1,201.6,201.6,5,2,0,,0,False,1,False
LZTBI-0032,sham,1,CL01,P01,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0033,tbi_moderate,1,CL01,P01,1,201.6,201.6,6,3,0,,0,True,2,False
LZTBI-0034,tbi_moderate,1,CL01,P01,1,201.6,201.6,6,3,0,,0,True,1,False
LZTBI-0035,sham,1,CL01,P01,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0036,sham,1,CL01,P01,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0037,tbi_low,1,CL01,P01,1,117.09999999999998,117.1,6,3,0,,0,True,0,False
LZTBI-0038,tbi_low,1,CL01,P01,1,117.09999999999998,117.1,6,3,0,,0,True,0,False
LZTBI-0039,sham,1,CL01,P01,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0040,tbi_low,1,CL01,P01,1,117.09999999999998,117.1,6,3,0,,0,True,0,False
LZTBI-0041,tbi_high,1,CL02,P01,1,333.7,333.7,6,3,1,,1,True,3,False
LZTBI-0042,tbi_high,1,CL02,P01,1,333.7,333.7,6,3,1,,1,True,3,False
LZTBI-0043,tbi_high,1,CL02,P01,1,333.7,333.7,6,3,0,,0,True,0,False
LZTBI-0044,tbi_low,1,CL02,P01,1,117.09999999999998,117.1,6,3,0,,0,True,0,False
LZTBI-0045,tbi_moderate,1,CL02,P01,1,201.6,201.6,6,3,0,,0,True,1,False
LZTBI-0046,tbi_low,1,CL02,P01,1,117.09999999999998,117.1,6,3,0,,0,True,0,False
LZTBI-0047,tbi_high,1,CL02,P01,1,333.7,333.7,6,3,1,,1,True,3,False
LZTBI-0048,tbi_high,1,CL02,P01,1,333.7,333.7,6,3,0,,0,True,1,False
LZTBI-0049,tbi_low,1,CL02,P01,1,117.09999999999998,117.1,6,3,0,,0,True,0,False
LZTBI-0050,tbi_moderate,1,CL02,P01,1,201.6,201.6,5,2,1,,1,False,3,False
LZTBI-0051,sham,1,CL02,P01,0,0.0,0.0,6,3,1,,1,True,2,False
LZTBI-0052,tbi_low,1,CL02,P01,1,117.09999999999998,117.1,6,3,1,,1,True,2,False
LZTBI-0053,tbi_high,1,CL02,P01,1,333.7,333.7,6,3,1,,1,True,3,False
LZTBI-0054,tbi_moderate,1,CL02,P01,1,201.6,201.6,6,3,1,,1,True,2,False
LZTBI-0055,tbi_low,1,CL02,P01,1,117.09999999999998,117.1,6,3,0,,0,True,0,False
LZTBI-0056,tbi_moderate,1,CL02,P01,1,201.6,201.6,6,3,1,,0,True,3,False
LZTBI-0057,tbi_high,1,CL02,P01,1,333.7,333.7,6,3,1,,1,True,3,False
LZTBI-0058,sham,1,CL02,P01,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0059,sham,1,CL02,P01,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0060,tbi_moderate,1,CL02,P01,1,201.6,201.6,6,3,0,,0,True,1,False
LZTBI-0061,tbi_high,1,CL02,P01,1,333.7,333.7,6,3,0,,0,True,1,False
LZTBI-0062,tbi_low,1,CL02,P01,1,117.09999999999998,117.1,6,3,0,,0,True,0,False
LZTBI-0063,sham,1,CL02,P01,0,0.0,0.0,5,2,0,,0,False,0,False
LZTBI-0064,sham,1,CL02,P01,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0065,sham,1,CL02,P01,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0066,tbi_high,1,CL02,P01,1,333.7,333.7,6,3,0,,0,True,1,False
LZTBI-0067,tbi_moderate,1,CL02,P01,1,201.6,201.6,6,3,0,,0,True,1,False
LZTBI-0068,sham,1,CL02,P01,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0069,tbi_high,1,CL02,P01,1,333.7,333.7,6,3,1,,1,True,3,False
LZTBI-0070,tbi_high,1,CL02,P01,1,333.7,333.7,6,3,0,,0,True,1,False
LZTBI-0071,sham,1,CL02,P01,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0072,sham,1,CL02,P01,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0073,tbi_low,1,CL02,P01,1,117.09999999999998,117.1,6,3,0,,0,True,0,False
LZTBI-0074,tbi_low,1,CL02,P01,1,117.09999999999998,117.1,6,3,0,,0,True,1,False
LZTBI-0075,sham,1,CL02,P01,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0076,tbi_high,1,CL02,P01,1,333.7,333.7,6,3,1,,1,True,3,False
LZTBI-0077,tbi_moderate,1,CL02,P01,1,201.6,201.6,6,3,1,,1,True,3,False
LZTBI-0078,tbi_high,1,CL02,P01,1,333.7,333.7,6,3,0,,0,True,0,False
LZTBI-0079,tbi_low,1,CL02,P01,1,117.09999999999998,117.1,6,3,0,,0,True,0,False
LZTBI-0080,tbi_low,1,CL02,P01,1,117.09999999999998,117.1,6,3,0,,0,True,1,False
LZTBI-0081,sham,2,CL03,P02,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0082,tbi_high,2,CL03,P02,1,313.9,313.9,6,3,0,,0,True,1,False
LZTBI-0083,tbi_low,2,CL03,P02,1,114.0,114.0,6,3,0,,0,True,0,False
LZTBI-0084,tbi_high,2,CL03,P02,1,313.9,313.9,6,3,0,,0,True,1,False
LZTBI-0085,tbi_low,2,CL03,P02,1,114.0,114.0,6,3,0,,0,True,2,False
LZTBI-0086,tbi_moderate,2,CL03,P02,1,214.9,214.9,6,3,1,,1,True,3,False
LZTBI-0087,tbi_low,2,CL03,P02,1,114.0,114.0,6,3,0,,0,True,0,False
LZTBI-0088,tbi_high,2,CL03,P02,1,313.9,313.9,6,3,1,,1,True,3,False
LZTBI-0089,tbi_moderate,2,CL03,P02,1,214.9,214.9,6,3,1,,1,True,3,False
LZTBI-0090,tbi_low,2,CL03,P02,1,114.0,114.0,6,3,0,,0,True,1,False
LZTBI-0091,tbi_high,2,CL03,P02,1,313.9,313.9,6,3,1,,1,True,3,False
LZTBI-0092,sham,2,CL03,P02,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0093,tbi_high,2,CL03,P02,1,313.9,313.9,6,3,1,,1,True,2,False
LZTBI-0094,tbi_high,2,CL03,P02,1,313.9,313.9,6,3,1,,1,True,3,False
LZTBI-0095,tbi_moderate,2,CL03,P02,1,214.9,214.9,6,3,1,,1,True,3,False
LZTBI-0096,tbi_low,2,CL03,P02,1,114.0,114.0,6,3,0,,0,True,0,False
LZTBI-0097,tbi_moderate,2,CL03,P02,1,214.9,214.9,6,3,0,,0,True,1,False
LZTBI-0098,sham,2,CL03,P02,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0099,tbi_low,2,CL03,P02,1,114.0,114.0,6,3,0,,0,True,0,False
LZTBI-0100,tbi_moderate,2,CL03,P02,1,214.9,214.9,4,1,0,,0,False,1,False
LZTBI-0101,tbi_high,2,CL03,P02,1,313.9,313.9,6,3,1,,1,True,3,False
LZTBI-0102,tbi_low,2,CL03,P02,1,114.0,114.0,6,3,0,,0,True,0,False
LZTBI-0103,sham,2,CL03,P02,0,0.0,0.0,6,3,0,,0,True,2,False
LZTBI-0104,sham,2,CL03,P02,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0105,tbi_low,2,CL03,P02,1,114.0,114.0,6,3,1,,1,True,3,False
LZTBI-0106,sham,2,CL03,P02,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0107,sham,2,CL03,P02,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0108,tbi_low,2,CL03,P02,1,114.0,114.0,6,3,0,,0,True,2,False
LZTBI-0109,tbi_low,2,CL03,P02,1,114.0,114.0,6,3,0,,0,True,1,False
LZTBI-0110,tbi_moderate,2,CL03,P02,1,214.9,214.9,6,3,0,,0,True,2,False
LZTBI-0111,tbi_moderate,2,CL03,P02,1,214.9,214.9,6,3,0,,0,True,0,False
LZTBI-0112,sham,2,CL03,P02,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0113,tbi_high,2,CL03,P02,1,313.9,313.9,6,3,0,,0,True,1,False
LZTBI-0114,tbi_moderate,2,CL03,P02,1,214.9,214.9,6,3,1,,1,True,3,False
LZTBI-0115,sham,2,CL03,P02,0,0.0,0.0,6,3,1,,1,True,2,False
LZTBI-0116,sham,2,CL03,P02,0,0.0,0.0,5,2,0,,0,False,0,False
LZTBI-0117,tbi_moderate,2,CL03,P02,1,214.9,214.9,6,3,1,,1,True,3,False
LZTBI-0118,sham,2,CL03,P02,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0119,sham,2,CL03,P02,0,0.0,0.0,6,3,0,,0,True,2,False
LZTBI-0120,sham,2,CL03,P02,0,0.0,0.0,6,3,0,,0,True,0,False
